application_id,period,age,income_sgd,loan_amount_sgd,loan_tenure_months,credit_history_months,num_existing_loans,employment_status,gender,ethnicity,postal_district,debt_to_income,model_score,approved,actual_default
TRN-00028,2022-2023 (Training),46,24064,8646,84,28,0,Salaried,M,Chinese,27,0.0513,0.9355,1,0
TRN-00029,2022-2023 (Training),48,12171,47816,12,2,2,Salaried,F,Chinese,1,3.9287,0.5911,1,0
TRN-00030,2022-2023 (Training),63,67853,94460,60,185,3,Unemployed,M,Chinese,22,0.2784,0.5226,1,0
TRN-00031,2022-2023 (Training),49,131228,49112,84,160,3,Salaried,F,Chinese,15,0.0535,0.9378,1,0
TRN-00032,2022-2023 (Training),37,96537,56048,24,74,2,Salaried,M,Chinese,6,0.2903,0.99,1,0
TRN-00033,2022-2023 (Training),36,73792,137850,36,44,1,Salaried,F,Malay,24,0.6227,0.8057,1,0
TRN-00034,2022-2023 (Training),65,38235,50752,24,68,1,Contract,F,Chinese,17,0.6637,0.6434,1,0
TRN-00035,2022-2023 (Training),24,79501,75726,60,159,3,Salaried,F,Chinese,21,0.1905,0.8371,1,1
TRN-00036,2022-2023 (Training),58,102161,49788,48,110,2,Salaried,M,Chinese,15,0.1218,0.8262,1,0
TRN-00037,2022-2023 (Training),28,53214,9747,12,209,2,Self-Employed,M,Chinese,14,0.1832,0.8106,1,0
TRN-00038,2022-2023 (Training),42,24085,5045,12,238,0,Contract,M,Chinese,19,0.2095,0.969,1,0
TRN-00039,2022-2023 (Training),30,36328,12758,36,83,3,Self-Employed,F,Chinese,22,0.1171,0.7641,1,0
TRN-00040,2022-2023 (Training),60,136164,130076,84,51,1,Salaried,F,Chinese,9,0.1365,0.9092,1,0
TRN-00041,2022-2023 (Training),39,46870,145926,84,191,4,Contract,F,Chinese,26,0.4448,0.6246,1,1
TRN-00042,2022-2023 (Training),25,6668,61950,84,115,1,Self-Employed,M,Chinese,3,1.3272,0.6555,1,0
TRN-00043,2022-2023 (Training),46,20305,24455,12,102,1,Unemployed,M,Chinese,25,1.2044,0.5733,1,0
TRN-00044,2022-2023 (Training),35,37999,93552,48,167,4,Contract,M,Chinese,25,0.6155,0.6916,1,0
TRN-00045,2022-2023 (Training),30,91262,51116,84,219,3,Salaried,F,Chinese,15,0.08,0.7574,1,0
TRN-00046,2022-2023 (Training),47,41611,125461,24,140,0,Self-Employed,M,Chinese,17,1.5075,0.6126,1,0
TRN-00047,2022-2023 (Training),23,92287,45484,84,217,1,Salaried,M,Chinese,2,0.0704,0.9878,1,0
TRN-00048,2022-2023 (Training),41,35749,86638,48,79,1,Salaried,F,Chinese,27,0.6059,0.7926,1,1
TRN-00049,2022-2023 (Training),49,15084,139476,36,216,3,Salaried,F,Chinese,4,3.0822,0.5636,1,0
TRN-00050,2022-2023 (Training),28,36499,105647,36,201,3,Salaried,F,Chinese,14,0.9648,0.7744,1,0
TRN-00051,2022-2023 (Training),65,60292,70642,12,28,2,Salaried,F,Indian,11,1.1717,0.7262,1,1
TRN-00052,2022-2023 (Training),29,57363,51009,48,237,3,Contract,F,Malay,27,0.2223,0.7237,1,0
TRN-00053,2022-2023 (Training),56,23084,133824,24,190,3,Salaried,M,Chinese,12,2.8986,0.7935,1,0
TRN-00054,2022-2023 (Training),35,39706,34605,48,229,1,Salaried,M,Chinese,23,0.2179,0.9685,1,0
TRN-00055,2022-2023 (Training),38,245439,115879,24,211,0,Salaried,F,Chinese,16,0.2361,0.8813,1,0
TRN-00056,2022-2023 (Training),57,23389,125827,24,153,1,Salaried,M,Indian,12,2.6899,0.795,1,0
TRN-00057,2022-2023 (Training),61,72870,10580,48,223,3,Contract,M,Chinese,2,0.0363,0.7515,1,1
TRN-00058,2022-2023 (Training),25,13932,119902,60,230,2,Self-Employed,M,Chinese,7,1.7212,0.5808,1,0
TRN-00059,2022-2023 (Training),23,82312,10400,48,101,0,Salaried,M,Indian,21,0.0316,0.8615,1,0
TRN-00060,2022-2023 (Training),27,28698,101032,24,58,2,Contract,M,Chinese,26,1.7603,0.6521,1,1
TRN-00061,2022-2023 (Training),63,62395,132319,84,176,4,Salaried,M,Chinese,23,0.303,0.8122,1,0
TRN-00062,2022-2023 (Training),25,22585,111960,36,180,2,Unemployed,M,Chinese,25,1.6524,0.4905,1,1
TRN-00063,2022-2023 (Training),50,58367,44015,36,215,2,Salaried,M,Indian,25,0.2514,0.9183,1,0
TRN-00064,2022-2023 (Training),39,28418,76713,12,158,3,Self-Employed,F,Other,3,2.6995,0.5131,1,0
TRN-00065,2022-2023 (Training),47,31919,93754,36,231,3,Salaried,F,Chinese,3,0.9791,0.6597,1,0
TRN-00066,2022-2023 (Training),65,63907,48148,60,11,3,Contract,F,Chinese,13,0.1507,0.6024,1,0
TRN-00067,2022-2023 (Training),55,37864,127790,24,185,3,Salaried,F,Chinese,7,1.6875,0.7039,1,0
TRN-00068,2022-2023 (Training),31,61588,91078,48,163,3,Salaried,M,Chinese,5,0.3697,0.8058,1,0
TRN-00069,2022-2023 (Training),57,43717,61879,48,9,2,Contract,F,Chinese,21,0.3539,0.6237,1,0
TRN-00070,2022-2023 (Training),35,51046,124894,60,133,4,Salaried,M,Chinese,5,0.4893,0.6982,1,0
TRN-00071,2022-2023 (Training),52,64026,70839,36,134,3,Self-Employed,F,Chinese,25,0.3688,0.4918,1,0
TRN-00072,2022-2023 (Training),36,39735,34756,24,30,4,Self-Employed,M,Chinese,20,0.4373,0.6995,1,0
TRN-00073,2022-2023 (Training),29,26967,148755,36,90,4,Salaried,F,Chinese,22,1.8387,0.6937,1,1
TRN-00074,2022-2023 (Training),35,35618,147097,12,199,1,Salaried,M,Chinese,6,4.1299,0.7483,1,0
TRN-00075,2022-2023 (Training),44,100416,97943,36,2,1,Contract,M,Indian,13,0.3251,0.6581,1,1
TRN-00076,2022-2023 (Training),61,52559,41744,12,103,0,Contract,F,Chinese,7,0.7942,0.6903,1,1
TRN-00077,2022-2023 (Training),42,29527,129697,48,174,1,Salaried,F,Chinese,2,1.0981,0.6868,1,0
TRN-00078,2022-2023 (Training),37,62376,121072,24,125,3,Salaried,M,Chinese,22,0.9705,0.6358,1,0
TRN-00079,2022-2023 (Training),66,64925,138196,84,212,4,Salaried,F,Chinese,9,0.3041,0.7238,1,0
TRN-00080,2022-2023 (Training),39,66969,12176,12,0,0,Salaried,M,Malay,19,0.1818,0.6345,1,0
TRN-00081,2022-2023 (Training),45,27263,96310,36,172,1,Salaried,F,Chinese,2,1.1775,0.9327,1,0
TRN-00082,2022-2023 (Training),47,32551,50177,36,181,2,Contract,M,Malay,13,0.5138,0.716,1,1
TRN-00083,2022-2023 (Training),46,32659,115623,48,177,0,Self-Employed,F,Malay,8,0.8851,0.7516,1,0
TRN-00084,2022-2023 (Training),66,39482,5997,60,206,3,Self-Employed,M,Chinese,16,0.0304,0.737,1,0
TRN-00085,2022-2023 (Training),62,67734,125179,84,134,4,Salaried,F,Chinese,1,0.264,0.8458,1,0
TRN-00086,2022-2023 (Training),50,58554,125403,60,190,3,Salaried,M,Chinese,11,0.4283,0.6253,1,0
TRN-00087,2022-2023 (Training),36,61397,147303,36,14,3,Self-Employed,M,Malay,8,0.7997,0.6387,1,0
TRN-00088,2022-2023 (Training),66,110460,100287,60,88,2,Self-Employed,M,Chinese,21,0.1816,0.8697,1,0
TRN-00089,2022-2023 (Training),22,74112,124574,84,194,2,Self-Employed,M,Indian,25,0.2401,0.8319,1,0
TRN-00090,2022-2023 (Training),46,45022,126509,84,157,4,Salaried,M,Chinese,25,0.4014,0.7102,1,0
TRN-00091,2022-2023 (Training),28,24092,90447,24,121,1,Salaried,F,Chinese,20,1.8771,0.7639,1,0
TRN-00092,2022-2023 (Training),30,31929,114522,60,205,3,Salaried,M,Chinese,1,0.7174,0.6554,1,0
TRN-00093,2022-2023 (Training),45,41897,86144,24,115,1,Salaried,M,Chinese,21,1.028,0.8431,1,0
TRN-00094,2022-2023 (Training),22,80618,97693,36,195,4,Self-Employed,M,Chinese,7,0.4039,0.4809,1,0
TRN-00095,2022-2023 (Training),65,48223,99315,36,35,3,Salaried,M,Chinese,25,0.6865,0.6462,1,0
TRN-00096,2022-2023 (Training),29,33066,32387,36,66,1,Contract,F,Chinese,26,0.3265,0.8121,1,0
TRN-00097,2022-2023 (Training),45,31579,9090,48,132,3,Salaried,F,Chinese,25,0.072,0.7591,1,0
TRN-00098,2022-2023 (Training),32,47016,125846,60,24,2,Salaried,M,Chinese,9,0.5353,0.6173,1,1
TRN-00099,2022-2023 (Training),38,83616,45239,12,222,2,Contract,M,Chinese,22,0.541,0.6624,1,0
TRN-00100,2022-2023 (Training),29,127339,8743,84,10,0,Salaried,M,Chinese,2,0.0098,0.7551,1,0
TRN-00101,2022-2023 (Training),56,43327,35924,12,199,4,Contract,F,Chinese,21,0.8291,0.6372,1,0
TRN-00102,2022-2023 (Training),56,47722,146268,36,217,1,Self-Employed,F,Chinese,19,1.0217,0.661,1,1
TRN-00103,2022-2023 (Training),54,23662,135160,60,65,3,Contract,F,Chinese,6,1.1424,0.6985,1,0
TRN-00104,2022-2023 (Training),26,156923,96815,24,155,0,Salaried,M,Chinese,27,0.3085,0.898,1,0
TRN-00105,2022-2023 (Training),63,21150,110312,12,239,4,Salaried,F,Chinese,5,5.2157,0.8495,1,1
TRN-00106,2022-2023 (Training),60,99012,73860,36,59,4,Salaried,F,Chinese,13,0.2487,0.8756,1,0
TRN-00107,2022-2023 (Training),62,39371,85399,12,137,4,Self-Employed,F,Malay,10,2.1691,0.7337,1,1
TRN-00108,2022-2023 (Training),49,34213,53795,12,49,1,Salaried,M,Chinese,27,1.5724,0.844,1,0
TRN-00109,2022-2023 (Training),28,25184,56553,84,166,2,Salaried,F,Other,1,0.3208,0.9816,1,0
TRN-00110,2022-2023 (Training),30,208153,108976,12,164,0,Salaried,F,Chinese,26,0.5235,0.6159,1,0
TRN-00111,2022-2023 (Training),29,55988,118566,36,62,1,Salaried,F,Malay,26,0.7059,0.7555,1,0
TRN-00112,2022-2023 (Training),33,49650,124968,84,188,3,Self-Employed,M,Chinese,18,0.3596,0.6202,1,0
TRN-00113,2022-2023 (Training),55,83453,66600,36,230,1,Salaried,F,Chinese,27,0.266,0.8867,1,0
TRN-00114,2022-2023 (Training),54,33173,55022,48,212,3,Salaried,F,Chinese,21,0.4147,0.7227,1,0
TRN-00115,2022-2023 (Training),44,49075,139271,48,91,3,Salaried,F,Chinese,14,0.7095,0.6287,1,1
TRN-00116,2022-2023 (Training),45,50706,55897,48,37,4,Self-Employed,F,Malay,12,0.2756,0.8749,1,0
TRN-00117,2022-2023 (Training),58,36051,43038,12,119,1,Contract,F,Chinese,6,1.1938,0.701,1,1
TRN-00118,2022-2023 (Training),56,100688,128323,60,32,2,Salaried,F,Chinese,14,0.2549,0.9426,1,0
TRN-00119,2022-2023 (Training),65,42993,125278,36,74,3,Salaried,M,Chinese,17,0.9713,0.6466,1,0
TRN-00120,2022-2023 (Training),61,19305,116054,48,44,4,Salaried,M,Chinese,7,1.5029,0.8357,1,0
TRN-00121,2022-2023 (Training),43,40908,12897,60,171,2,Salaried,F,Other,3,0.0631,0.9761,1,0
TRN-00122,2022-2023 (Training),48,56925,69541,48,128,1,Salaried,M,Chinese,17,0.3054,0.99,1,0
TRN-00123,2022-2023 (Training),56,28678,111968,48,52,2,Salaried,F,Malay,23,0.9761,0.9221,1,1
TRN-00124,2022-2023 (Training),22,30068,19892,60,174,1,Contract,F,Chinese,23,0.1323,0.8131,1,0
TRN-00125,2022-2023 (Training),56,35321,144343,48,160,3,Contract,M,Malay,10,1.0217,0.6977,1,0
TRN-00126,2022-2023 (Training),58,102001,29815,12,66,0,Salaried,F,Chinese,3,0.2923,0.9518,1,0
TRN-00127,2022-2023 (Training),35,36596,50612,12,217,0,Salaried,M,Chinese,16,1.383,0.6954,1,0
TRN-00128,2022-2023 (Training),24,115551,21267,84,142,3,Salaried,M,Chinese,6,0.0263,0.8708,1,0
TRN-00129,2022-2023 (Training),22,33895,23268,12,104,2,Salaried,M,Chinese,4,0.6865,0.6765,1,0
TRN-00130,2022-2023 (Training),26,59576,119463,24,13,1,Salaried,F,Chinese,20,1.0026,0.738,1,0
TRN-00131,2022-2023 (Training),47,37505,100347,84,150,0,Self-Employed,F,Chinese,9,0.3822,0.5307,1,1
TRN-00132,2022-2023 (Training),35,77068,99542,48,123,1,Salaried,M,Chinese,7,0.3229,0.8271,1,0
TRN-00133,2022-2023 (Training),60,25060,71612,24,181,3,Self-Employed,M,Indian,16,1.4288,0.4635,1,1
TRN-00134,2022-2023 (Training),48,76551,143307,36,119,2,Self-Employed,M,Chinese,6,0.624,0.7813,1,1
TRN-00135,2022-2023 (Training),30,52487,93757,60,135,1,Unemployed,F,Chinese,12,0.3573,0.4732,1,1
TRN-00136,2022-2023 (Training),36,33389,103075,36,181,2,Self-Employed,F,Indian,25,1.029,0.6025,1,0
TRN-00137,2022-2023 (Training),36,44367,39609,24,35,0,Self-Employed,F,Chinese,3,0.4464,0.5798,1,0
TRN-00138,2022-2023 (Training),47,123045,107785,12,211,1,Salaried,F,Chinese,12,0.876,0.8522,1,0
TRN-00139,2022-2023 (Training),63,53247,28645,48,127,4,Self-Employed,F,Chinese,20,0.1345,0.9023,1,0
TRN-00140,2022-2023 (Training),34,32156,67233,84,179,0,Salaried,M,Indian,14,0.2987,0.953,1,0
TRN-00141,2022-2023 (Training),53,23793,116443,48,133,2,Self-Employed,M,Malay,14,1.2235,0.7663,1,0
TRN-00142,2022-2023 (Training),60,66386,12771,12,96,3,Salaried,F,Malay,9,0.1924,0.8593,1,0
TRN-00143,2022-2023 (Training),53,55133,107601,48,155,4,Salaried,F,Indian,4,0.4879,0.5437,1,1
TRN-00144,2022-2023 (Training),25,74385,138014,60,177,1,Salaried,M,Chinese,23,0.3711,0.7316,1,0
TRN-00145,2022-2023 (Training),51,20387,130224,60,165,0,Salaried,M,Chinese,25,1.2775,0.7703,1,1
TRN-00146,2022-2023 (Training),58,24261,88251,60,157,1,Salaried,F,Chinese,20,0.7275,0.8451,1,0
TRN-00147,2022-2023 (Training),44,97550,62042,36,237,1,Unemployed,M,Malay,25,0.212,0.5593,1,1
TRN-00148,2022-2023 (Training),60,59802,58740,12,234,4,Salaried,F,Malay,15,0.9822,0.6177,1,0
TRN-00149,2022-2023 (Training),66,67510,52024,60,80,4,Self-Employed,F,Chinese,7,0.1541,0.6172,1,0
TRN-00150,2022-2023 (Training),36,27512,61965,24,72,4,Salaried,M,Chinese,20,1.1261,0.7428,1,1
TRN-00151,2022-2023 (Training),64,27211,15057,60,219,4,Salaried,F,Malay,19,0.1107,0.8361,1,0
TRN-00152,2022-2023 (Training),50,88854,13983,84,181,3,Salaried,M,Chinese,6,0.0225,0.7713,1,0
TRN-00153,2022-2023 (Training),57,91402,135469,36,70,2,Salaried,M,Chinese,19,0.494,0.8097,1,0
TRN-00154,2022-2023 (Training),34,25514,24995,24,45,4,Salaried,M,Chinese,7,0.4898,0.7536,1,0
TRN-00155,2022-2023 (Training),53,22751,119587,12,155,0,Salaried,F,Other,1,5.2563,0.7439,1,1
TRN-00156,2022-2023 (Training),28,45928,43886,12,144,1,Salaried,F,Chinese,7,0.9555,0.8205,1,0
TRN-00157,2022-2023 (Training),43,30345,94025,84,231,4,Contract,M,Chinese,3,0.4426,0.7021,1,0
TRN-00158,2022-2023 (Training),49,29968,100149,60,175,0,Salaried,F,Chinese,25,0.6684,0.7487,1,0
TRN-00159,2022-2023 (Training),23,23136,99020,24,171,3,Contract,M,Chinese,6,2.14,0.6127,1,0
TRN-00160,2022-2023 (Training),63,37009,7673,84,235,0,Unemployed,M,Chinese,23,0.0296,0.5632,1,0
TRN-00161,2022-2023 (Training),66,24518,82513,24,59,0,Self-Employed,M,Malay,25,1.6827,0.66,1,0
TRN-00162,2022-2023 (Training),27,25406,28466,60,59,3,Contract,F,Chinese,6,0.2241,0.8998,1,0
TRN-00163,2022-2023 (Training),49,58631,97545,60,4,3,Salaried,M,Malay,26,0.3327,0.855,1,0
TRN-00164,2022-2023 (Training),49,47423,55406,48,196,1,Contract,M,Chinese,11,0.2921,0.8913,1,0
TRN-00165,2022-2023 (Training),65,65573,139760,48,205,4,Salaried,M,Indian,2,0.5328,0.8557,1,0
TRN-00166,2022-2023 (Training),65,18225,74284,60,197,0,Salaried,M,Chinese,6,0.8152,0.8514,1,0
TRN-00167,2022-2023 (Training),41,49312,119579,36,134,2,Self-Employed,F,Chinese,22,0.8083,0.6478,1,1
TRN-00168,2022-2023 (Training),51,170311,18665,84,180,2,Contract,M,Chinese,18,0.0157,0.8958,1,0
TRN-00169,2022-2023 (Training),32,39208,25641,48,144,1,Contract,M,Chinese,23,0.1635,0.9389,1,0
TRN-00170,2022-2023 (Training),49,80406,40797,60,58,2,Salaried,M,Chinese,14,0.1015,0.9171,1,1
TRN-00171,2022-2023 (Training),46,79985,50950,24,8,1,Salaried,F,Chinese,12,0.3185,0.7934,1,0
TRN-00172,2022-2023 (Training),60,82381,134554,84,222,4,Self-Employed,F,Chinese,9,0.2333,0.9059,1,0
TRN-00173,2022-2023 (Training),54,54176,107339,48,149,1,Self-Employed,M,Malay,13,0.4953,0.7038,1,1
TRN-00174,2022-2023 (Training),22,68847,118431,36,44,3,Salaried,M,Chinese,26,0.5734,0.7737,1,1
TRN-00175,2022-2023 (Training),48,74563,145710,84,200,3,Salaried,F,Chinese,20,0.2792,0.803,1,0
TRN-00176,2022-2023 (Training),34,71773,26173,84,186,3,Contract,M,Chinese,27,0.0521,0.8528,1,0
TRN-00177,2022-2023 (Training),62,25073,149294,12,79,3,Self-Employed,F,Chinese,21,5.9544,0.5949,1,0
TRN-00178,2022-2023 (Training),24,17598,23095,24,227,3,Salaried,F,Chinese,22,0.6562,0.687,1,0
TRN-00179,2022-2023 (Training),60,19299,128554,36,225,3,Self-Employed,M,Chinese,1,2.2204,0.5329,1,0
TRN-00180,2022-2023 (Training),27,41685,137511,36,236,3,Salaried,M,Chinese,8,1.0996,0.672,1,0
TRN-00181,2022-2023 (Training),29,70007,130614,36,12,3,Contract,M,Chinese,9,0.6219,0.5163,1,1
TRN-00182,2022-2023 (Training),48,25269,141447,24,82,3,Salaried,F,Malay,17,2.7988,0.8006,1,0
TRN-00183,2022-2023 (Training),30,85338,94023,36,11,4,Salaried,F,Chinese,13,0.3673,0.5463,1,0
TRN-00184,2022-2023 (Training),58,36265,112181,12,163,3,Contract,M,Chinese,4,3.0934,0.6775,1,1
TRN-00185,2022-2023 (Training),54,36473,25600,48,9,1,Salaried,M,Other,6,0.1755,0.7173,1,0
TRN-00186,2022-2023 (Training),63,29683,7466,24,15,4,Contract,F,Chinese,13,0.1258,0.8391,1,0
TRN-00187,2022-2023 (Training),65,15821,114934,36,91,2,Self-Employed,M,Chinese,26,2.4215,0.4577,1,0
TRN-00188,2022-2023 (Training),45,56251,58276,60,18,0,Contract,M,Indian,17,0.2072,0.7777,1,0
TRN-00189,2022-2023 (Training),36,136981,11928,48,103,4,Salaried,M,Chinese,19,0.0218,0.9484,1,0
TRN-00190,2022-2023 (Training),53,47211,60309,84,133,3,Self-Employed,F,Chinese,23,0.1825,0.7072,1,0
TRN-00191,2022-2023 (Training),53,16149,121196,24,131,4,Self-Employed,M,Chinese,24,3.7524,0.5934,1,0
TRN-00192,2022-2023 (Training),45,78292,14404,60,157,0,Self-Employed,M,Chinese,8,0.0368,0.6368,1,0
TRN-00193,2022-2023 (Training),62,18492,118187,84,102,0,Salaried,F,Malay,21,0.913,0.8683,1,0
TRN-00194,2022-2023 (Training),33,23731,115449,60,94,3,Salaried,M,Malay,17,0.973,0.6695,1,1
TRN-00195,2022-2023 (Training),60,42488,32684,36,173,3,Salaried,M,Chinese,17,0.2564,0.9656,1,0
TRN-00196,2022-2023 (Training),23,52770,73591,24,26,1,Salaried,F,Indian,24,0.6973,0.685,1,1
TRN-00197,2022-2023 (Training),24,26763,124821,36,172,0,Self-Employed,M,Chinese,21,1.5546,0.5215,1,0
TRN-00198,2022-2023 (Training),58,41506,7682,84,212,3,Salaried,F,Chinese,15,0.0264,0.973,1,0
TRN-00199,2022-2023 (Training),38,75289,116186,12,36,0,Contract,M,Other,27,1.5432,0.7115,1,1
TRN-00200,2022-2023 (Training),23,81740,26832,60,136,1,Salaried,F,Chinese,25,0.0657,0.8984,1,1
TRN-00201,2022-2023 (Training),23,103867,21997,12,60,2,Salaried,F,Chinese,1,0.2118,0.8418,1,0
TRN-00202,2022-2023 (Training),49,154145,39640,84,34,0,Salaried,F,Chinese,2,0.0367,0.99,1,0
TRN-00203,2022-2023 (Training),44,79692,45491,36,105,1,Self-Employed,F,Other,20,0.1903,0.6626,1,0
TRN-00204,2022-2023 (Training),58,43043,68043,48,46,1,Salaried,M,Chinese,10,0.3952,0.8242,1,0
TRN-00205,2022-2023 (Training),53,82091,117175,60,148,1,Salaried,M,Chinese,27,0.2855,0.8144,1,0
TRN-00206,2022-2023 (Training),54,64862,133568,48,144,4,Self-Employed,M,Chinese,16,0.5148,0.6468,1,0
TRN-00207,2022-2023 (Training),22,66424,119250,24,54,3,Salaried,F,Chinese,23,0.8976,0.8494,1,0
TRN-00208,2022-2023 (Training),40,54520,77725,60,87,0,Unemployed,F,Chinese,4,0.2851,0.5668,1,0
TRN-00209,2022-2023 (Training),23,28360,133131,12,94,4,Contract,M,Indian,8,4.6943,0.6231,1,0
TRN-00210,2022-2023 (Training),65,26453,50520,48,5,0,Salaried,M,Malay,16,0.4775,0.6188,1,1
TRN-00211,2022-2023 (Training),47,46245,67919,84,120,4,Contract,M,Indian,7,0.2098,0.7874,1,0
TRN-00212,2022-2023 (Training),53,53602,114869,24,162,3,Self-Employed,F,Chinese,5,1.0715,0.5746,1,0
TRN-00213,2022-2023 (Training),27,32608,69442,60,49,1,Salaried,M,Chinese,23,0.4259,0.7418,1,0
TRN-00214,2022-2023 (Training),53,63196,110246,84,164,0,Salaried,M,Chinese,8,0.2492,0.8871,1,0
TRN-00215,2022-2023 (Training),25,170836,114687,24,12,1,Contract,M,Indian,3,0.3357,0.8165,1,0
TRN-00216,2022-2023 (Training),32,17212,128447,12,24,3,Contract,M,Other,3,7.4626,0.585,1,0
TRN-00217,2022-2023 (Training),38,69518,66477,84,223,0,Salaried,M,Indian,18,0.1366,0.8799,1,0
TRN-00218,2022-2023 (Training),59,47118,5244,60,122,2,Salaried,M,Chinese,4,0.0223,0.9069,1,0
TRN-00219,2022-2023 (Training),45,64240,84453,24,128,2,Self-Employed,M,Chinese,27,0.6573,0.793,1,1
TRN-00220,2022-2023 (Training),26,37856,132962,36,48,2,Salaried,M,Chinese,4,1.1708,0.8674,1,0
TRN-00221,2022-2023 (Training),55,44907,76303,60,121,3,Self-Employed,M,Chinese,15,0.3398,0.7861,1,0
TRN-00222,2022-2023 (Training),27,52981,33390,60,34,2,Self-Employed,M,Chinese,15,0.126,0.7545,1,1
TRN-00223,2022-2023 (Training),43,40905,15247,60,82,0,Salaried,F,Chinese,4,0.0745,0.9378,1,0
TRN-00224,2022-2023 (Training),32,19686,34583,60,52,2,Salaried,F,Chinese,2,0.3513,0.6746,1,1
TRN-00225,2022-2023 (Training),37,42601,144148,36,179,0,Self-Employed,F,Chinese,23,1.1279,0.5957,1,0
TRN-00226,2022-2023 (Training),54,20955,140386,84,181,3,Salaried,M,Chinese,26,0.9571,0.7145,1,0
TRN-00227,2022-2023 (Training),30,72541,33670,84,75,1,Salaried,F,Chinese,3,0.0663,0.8369,1,0
TRN-00228,2022-2023 (Training),27,16005,129920,84,103,4,Self-Employed,M,Chinese,10,1.1596,0.5385,1,0
TRN-00229,2022-2023 (Training),37,90870,15236,12,231,2,Contract,M,Chinese,1,0.1677,0.7928,1,1
TRN-00230,2022-2023 (Training),50,63432,40568,36,46,4,Self-Employed,M,Chinese,18,0.2132,0.9429,1,0
TRN-00231,2022-2023 (Training),24,63578,112327,36,42,1,Salaried,M,Chinese,5,0.5889,0.7538,1,1
TRN-00232,2022-2023 (Training),41,13378,115188,24,147,3,Self-Employed,M,Malay,9,4.3051,0.4716,1,1
TRN-00233,2022-2023 (Training),57,40248,21352,48,160,3,Salaried,M,Chinese,20,0.1326,0.8756,1,0
TRN-00234,2022-2023 (Training),40,97942,130721,84,92,1,Self-Employed,M,Chinese,6,0.1907,0.8266,1,0
