application_id,period,age,income_sgd,loan_amount_sgd,loan_tenure_months,credit_history_months,num_existing_loans,employment_status,gender,ethnicity,postal_district,debt_to_income,model_score,approved,actual_default
LIV-00016,2025-2026 (Live),48,87629,44122,60,238,1,Salaried,M,Chinese,9,0.1007,0.9557,1,0
LIV-00017,2025-2026 (Live),26,28532,35599,60,202,0,Unemployed,M,Chinese,20,0.2495,0.5187,1,1
LIV-00018,2025-2026 (Live),61,18981,88343,48,184,4,Unemployed,F,Chinese,20,1.1636,0.411,0,0
LIV-00019,2025-2026 (Live),30,43631,95499,36,216,2,Contract,M,Chinese,26,0.7296,0.6969,1,1
LIV-00020,2025-2026 (Live),37,69749,90184,36,166,4,Salaried,F,Chinese,25,0.431,0.5138,1,1
LIV-00021,2025-2026 (Live),34,28879,163916,84,50,3,Salaried,M,Chinese,20,0.8109,0.7496,1,0
LIV-00022,2025-2026 (Live),36,50824,57415,48,207,5,Self-Employed,M,Chinese,20,0.2824,0.8068,1,1
LIV-00023,2025-2026 (Live),57,17974,126385,84,20,0,Salaried,F,Indian,24,1.0045,0.6814,1,1
LIV-00024,2025-2026 (Live),46,49630,64119,60,89,3,Contract,F,Chinese,6,0.2584,0.828,1,0
LIV-00025,2025-2026 (Live),37,31889,84791,60,218,2,Self-Employed,M,Chinese,7,0.5318,0.746,1,0
LIV-00026,2025-2026 (Live),65,47556,126490,36,184,2,Salaried,F,Chinese,4,0.8866,0.7569,1,0
LIV-00027,2025-2026 (Live),65,45539,134696,36,178,3,Contract,F,Chinese,17,0.9859,0.5563,1,0
LIV-00028,2025-2026 (Live),52,22868,148896,60,108,5,Salaried,F,Chinese,4,1.3022,0.6143,1,0
LIV-00029,2025-2026 (Live),58,46420,175942,48,116,3,Self-Employed,M,Chinese,20,0.9476,0.413,0,1
LIV-00030,2025-2026 (Live),54,29994,150924,60,16,3,Salaried,M,Chinese,14,1.0064,0.7082,1,1
LIV-00031,2025-2026 (Live),41,76952,57550,36,158,0,Salaried,F,Indian,18,0.2493,0.9313,1,0
LIV-00032,2025-2026 (Live),47,77547,166311,60,141,1,Contract,F,Chinese,8,0.4289,0.5955,1,0
LIV-00033,2025-2026 (Live),56,48223,80119,12,214,2,Salaried,M,Chinese,27,1.6614,0.5794,1,0
LIV-00034,2025-2026 (Live),61,44908,43620,36,129,0,Salaried,F,Chinese,5,0.3238,0.744,1,0
LIV-00035,2025-2026 (Live),28,68517,60799,48,217,2,Self-Employed,F,Chinese,14,0.2218,0.6892,1,0
LIV-00036,2025-2026 (Live),66,78067,36764,84,153,3,Self-Employed,F,Chinese,9,0.0673,0.6951,1,0
LIV-00037,2025-2026 (Live),63,115912,72276,84,149,2,Salaried,M,Chinese,21,0.0891,0.9353,1,1
LIV-00038,2025-2026 (Live),52,35946,128397,48,105,5,Salaried,F,Chinese,20,0.893,0.7207,1,0
LIV-00039,2025-2026 (Live),38,18628,157864,60,27,5,Salaried,M,Indian,3,1.6949,0.6596,1,1
LIV-00040,2025-2026 (Live),64,78831,62613,48,133,5,Salaried,F,Chinese,26,0.1986,0.9023,1,0
LIV-00041,2025-2026 (Live),29,117970,176243,60,239,4,Salaried,M,Indian,26,0.2988,0.7848,1,0
LIV-00042,2025-2026 (Live),44,44180,37088,60,230,2,Contract,M,Chinese,17,0.1679,0.8068,1,0
LIV-00043,2025-2026 (Live),65,40863,47657,48,146,5,Salaried,F,Chinese,27,0.2916,0.8042,1,0
LIV-00044,2025-2026 (Live),39,119366,139678,60,55,4,Self-Employed,M,Chinese,23,0.234,0.5462,1,0
LIV-00045,2025-2026 (Live),63,20927,115565,48,20,0,Salaried,F,Chinese,25,1.3806,0.7872,1,1
LIV-00046,2025-2026 (Live),33,34694,156805,24,169,0,Salaried,F,Chinese,18,2.2598,0.6155,1,1
LIV-00047,2025-2026 (Live),51,27910,48394,84,19,5,Salaried,M,Chinese,4,0.2477,0.7469,1,0
LIV-00048,2025-2026 (Live),57,42983,68797,36,222,4,Contract,F,Chinese,24,0.5335,0.5239,1,1
LIV-00049,2025-2026 (Live),36,82749,14358,84,90,2,Contract,F,Malay,9,0.0248,0.9486,1,0
LIV-00050,2025-2026 (Live),39,18795,51846,36,206,5,Salaried,F,Chinese,11,0.9195,0.5153,1,1
LIV-00051,2025-2026 (Live),46,82576,82168,60,126,0,Salaried,M,Chinese,9,0.199,0.8772,1,0
LIV-00052,2025-2026 (Live),34,24567,94803,60,171,2,Self-Employed,F,Chinese,6,0.7718,0.5658,1,1
LIV-00053,2025-2026 (Live),45,56201,82307,36,120,1,Salaried,F,Chinese,18,0.4882,0.6588,1,0
LIV-00054,2025-2026 (Live),38,9582,171156,84,30,5,Salaried,M,Malay,1,2.5517,0.6525,1,0
LIV-00055,2025-2026 (Live),22,11142,107627,48,8,1,Salaried,F,Chinese,4,2.4149,0.4247,0,0
LIV-00056,2025-2026 (Live),58,38243,25693,60,49,5,Salaried,M,Malay,6,0.1344,0.9065,1,0
LIV-00057,2025-2026 (Live),48,96189,130264,60,80,4,Salaried,M,Chinese,18,0.2709,0.7941,1,1
LIV-00058,2025-2026 (Live),41,83900,20926,12,210,4,Salaried,M,Chinese,22,0.2494,0.8022,1,0
LIV-00059,2025-2026 (Live),39,15015,122049,36,31,2,Salaried,M,Chinese,17,2.7095,0.7809,1,0
LIV-00060,2025-2026 (Live),30,86751,85267,48,201,1,Salaried,M,Chinese,16,0.2457,0.9494,1,0
LIV-00061,2025-2026 (Live),31,59399,59693,84,167,1,Self-Employed,F,Chinese,22,0.1436,0.7015,1,0
LIV-00062,2025-2026 (Live),46,56089,115021,24,179,4,Salaried,M,Other,21,1.0253,0.4395,0,1
LIV-00063,2025-2026 (Live),22,186463,83365,36,196,3,Salaried,F,Chinese,18,0.149,0.7738,1,0
LIV-00064,2025-2026 (Live),57,28115,92118,48,204,2,Contract,F,Chinese,12,0.8191,0.6177,1,1
LIV-00065,2025-2026 (Live),39,79446,34436,48,116,2,Salaried,M,Malay,27,0.1084,0.7975,1,0
LIV-00066,2025-2026 (Live),36,43261,97042,36,26,0,Salaried,M,Chinese,20,0.7477,0.6994,1,0
LIV-00067,2025-2026 (Live),54,121435,87814,84,1,4,Salaried,F,Chinese,9,0.1033,0.7126,1,0
LIV-00068,2025-2026 (Live),43,52931,24392,36,0,0,Self-Employed,F,Chinese,18,0.1536,0.6267,1,0
LIV-00069,2025-2026 (Live),45,30107,111774,36,126,3,Salaried,M,Chinese,5,1.2375,0.6354,1,1
LIV-00070,2025-2026 (Live),22,27573,80455,48,7,0,Salaried,F,Malay,3,0.7295,0.6523,1,0
LIV-00071,2025-2026 (Live),32,49082,24586,48,137,3,Contract,M,Chinese,2,0.1252,0.8609,1,0
LIV-00072,2025-2026 (Live),64,25216,70612,12,219,0,Salaried,M,Chinese,26,2.8003,0.6267,1,0
LIV-00073,2025-2026 (Live),47,6363,20852,84,68,4,Salaried,M,Indian,24,0.4682,0.7093,1,0
LIV-00074,2025-2026 (Live),47,99249,86350,24,113,3,Contract,M,Chinese,10,0.435,0.5217,1,0
LIV-00075,2025-2026 (Live),27,88053,95495,36,193,2,Contract,M,Chinese,25,0.3615,0.5287,1,0
LIV-00076,2025-2026 (Live),54,42227,77067,60,168,4,Contract,M,Chinese,6,0.365,0.6108,1,0
LIV-00077,2025-2026 (Live),35,66966,167172,36,47,4,Unemployed,M,Indian,13,0.8321,0.1921,0,0
LIV-00078,2025-2026 (Live),45,69403,48909,60,115,5,Salaried,F,Malay,5,0.1409,0.6506,1,0
LIV-00079,2025-2026 (Live),59,43627,122522,36,116,1,Salaried,F,Chinese,7,0.9361,0.6688,1,0
LIV-00080,2025-2026 (Live),62,13573,91534,12,80,2,Contract,F,Other,19,6.7438,0.5805,1,1
LIV-00081,2025-2026 (Live),38,52848,54035,36,175,0,Contract,M,Chinese,6,0.3408,0.8081,1,0
LIV-00082,2025-2026 (Live),35,35675,138876,60,124,4,Salaried,F,Other,14,0.7786,0.6034,1,1
LIV-00083,2025-2026 (Live),40,155854,139733,48,32,0,Salaried,M,Malay,7,0.2241,0.9213,1,0
LIV-00084,2025-2026 (Live),29,64758,18217,36,216,4,Self-Employed,M,Indian,17,0.0938,0.5236,1,1
LIV-00085,2025-2026 (Live),44,64924,90013,48,196,2,Salaried,M,Chinese,4,0.3466,0.8472,1,1
LIV-00086,2025-2026 (Live),65,110962,164512,48,91,4,Contract,F,Chinese,13,0.3706,0.3901,0,0
LIV-00087,2025-2026 (Live),23,45349,162814,48,178,0,Contract,M,Chinese,7,0.8976,0.646,1,1
LIV-00088,2025-2026 (Live),24,154068,14619,84,191,0,Contract,M,Chinese,10,0.0136,0.8709,1,0
LIV-00089,2025-2026 (Live),34,21696,118757,60,81,2,Salaried,M,Chinese,22,1.0947,0.6481,1,0
LIV-00090,2025-2026 (Live),26,39215,123751,60,121,0,Contract,F,Chinese,26,0.6311,0.5606,1,0
LIV-00091,2025-2026 (Live),39,100812,82815,48,22,3,Self-Employed,F,Malay,2,0.2054,0.5705,1,0
LIV-00092,2025-2026 (Live),22,18986,144643,60,179,4,Salaried,F,Chinese,8,1.5237,0.7049,1,1
LIV-00093,2025-2026 (Live),58,33547,69111,36,226,3,Salaried,M,Chinese,7,0.6867,0.6897,1,1
LIV-00094,2025-2026 (Live),42,57846,87629,36,81,1,Salaried,M,Chinese,18,0.505,0.7587,1,0
LIV-00095,2025-2026 (Live),65,59649,43812,48,202,1,Self-Employed,F,Chinese,9,0.1836,0.8363,1,0
LIV-00096,2025-2026 (Live),40,27846,30254,60,42,5,Salaried,M,Indian,22,0.2173,0.7943,1,1
LIV-00097,2025-2026 (Live),59,108778,22717,36,106,5,Salaried,F,Chinese,18,0.0696,0.9767,1,0
LIV-00098,2025-2026 (Live),55,22057,67838,48,73,4,Contract,F,Chinese,5,0.7689,0.6221,1,0
LIV-00099,2025-2026 (Live),23,48702,12370,84,137,0,Contract,M,Chinese,15,0.0363,0.7452,1,0
LIV-00100,2025-2026 (Live),41,27494,33096,36,99,2,Contract,M,Chinese,1,0.4013,0.4846,1,1
LIV-00101,2025-2026 (Live),52,12723,160864,48,200,1,Contract,M,Chinese,16,3.1609,0.4047,0,0
LIV-00102,2025-2026 (Live),34,26796,62398,24,105,0,Contract,F,Chinese,13,1.1643,0.5821,1,1
LIV-00103,2025-2026 (Live),35,34354,58281,48,76,5,Contract,M,Chinese,16,0.4241,0.5846,1,0
LIV-00104,2025-2026 (Live),59,18175,125460,36,214,2,Contract,F,Malay,2,2.301,0.7157,1,0
LIV-00105,2025-2026 (Live),33,94556,142720,12,128,4,Salaried,M,Chinese,25,1.5094,0.5726,1,0
LIV-00106,2025-2026 (Live),34,47147,35220,48,143,0,Salaried,F,Chinese,26,0.1868,0.7537,1,0
LIV-00107,2025-2026 (Live),45,51120,46968,36,18,3,Self-Employed,M,Indian,17,0.3063,0.5684,1,0
LIV-00108,2025-2026 (Live),61,39864,64039,36,75,4,Salaried,F,Malay,4,0.5355,0.6087,1,0
LIV-00109,2025-2026 (Live),52,39260,76887,60,132,1,Salaried,F,Chinese,9,0.3917,0.7035,1,1
LIV-00110,2025-2026 (Live),35,61106,139685,36,182,4,Contract,M,Chinese,20,0.762,0.3132,0,1
LIV-00111,2025-2026 (Live),51,30574,80808,48,61,4,Contract,M,Indian,10,0.6608,0.5515,1,1
LIV-00112,2025-2026 (Live),48,9694,55043,84,132,2,Salaried,F,Chinese,17,0.8111,0.7723,1,0
LIV-00113,2025-2026 (Live),57,12639,48965,24,120,1,Salaried,M,Chinese,5,1.9371,0.7033,1,1
LIV-00114,2025-2026 (Live),27,51694,40628,84,134,5,Salaried,M,Indian,6,0.1123,0.7701,1,0
LIV-00115,2025-2026 (Live),27,35060,33114,36,107,2,Salaried,F,Chinese,17,0.3148,0.8744,1,0
LIV-00116,2025-2026 (Live),36,237121,163153,60,77,4,Salaried,F,Chinese,8,0.1376,0.814,1,1
LIV-00117,2025-2026 (Live),45,75827,26903,36,32,0,Self-Employed,M,Chinese,17,0.1183,0.7092,1,1
LIV-00118,2025-2026 (Live),34,54633,19988,48,5,3,Salaried,F,Other,22,0.0915,0.7837,1,0
LIV-00119,2025-2026 (Live),28,14688,99390,48,81,3,Self-Employed,M,Indian,9,1.6917,0.5407,1,1
LIV-00120,2025-2026 (Live),66,27503,172395,84,133,2,Salaried,M,Chinese,19,0.8955,0.6936,1,0
LIV-00121,2025-2026 (Live),42,80159,84641,48,50,0,Contract,M,Chinese,5,0.264,0.8178,1,0
LIV-00122,2025-2026 (Live),59,48219,12342,36,221,3,Salaried,F,Malay,1,0.0853,0.7559,1,0
LIV-00123,2025-2026 (Live),59,22826,16508,48,11,0,Self-Employed,F,Malay,17,0.1808,0.7797,1,1
LIV-00124,2025-2026 (Live),35,19543,115249,60,113,5,Salaried,F,Chinese,18,1.1794,0.7087,1,1
LIV-00125,2025-2026 (Live),24,59925,93637,36,226,5,Contract,F,Chinese,6,0.5209,0.5342,1,1
LIV-00126,2025-2026 (Live),64,27917,84874,36,202,2,Self-Employed,F,Chinese,23,1.0134,0.6397,1,1
LIV-00127,2025-2026 (Live),66,31268,126919,48,121,1,Self-Employed,F,Chinese,14,1.0148,0.7848,1,0
LIV-00128,2025-2026 (Live),56,37081,131338,84,131,0,Self-Employed,F,Chinese,21,0.506,0.6349,1,0
LIV-00129,2025-2026 (Live),33,103855,62867,48,204,0,Unemployed,M,Chinese,1,0.1513,0.4082,0,0
LIV-00130,2025-2026 (Live),42,36148,117435,48,0,1,Self-Employed,M,Indian,17,0.8122,0.5333,1,0
LIV-00131,2025-2026 (Live),41,105016,170546,24,51,4,Contract,M,Chinese,1,0.812,0.4034,0,0
LIV-00132,2025-2026 (Live),48,32777,125672,60,229,4,Salaried,F,Chinese,12,0.7668,0.5253,1,1
LIV-00133,2025-2026 (Live),26,16470,48395,36,52,4,Contract,M,Chinese,3,0.9795,0.5223,1,0
LIV-00134,2025-2026 (Live),66,35473,70575,36,92,2,Self-Employed,F,Chinese,13,0.6632,0.6123,1,0
LIV-00135,2025-2026 (Live),32,41997,143236,60,13,4,Salaried,M,Chinese,4,0.6821,0.6879,1,1
LIV-00136,2025-2026 (Live),63,14777,39713,60,148,2,Self-Employed,M,Chinese,24,0.5375,0.7716,1,0
LIV-00137,2025-2026 (Live),65,21597,140457,36,104,1,Self-Employed,F,Chinese,9,2.1678,0.6079,1,0
LIV-00138,2025-2026 (Live),27,61252,50977,60,158,0,Salaried,M,Chinese,16,0.1665,0.878,1,0
LIV-00139,2025-2026 (Live),26,30586,30678,60,168,3,Salaried,F,Malay,14,0.2006,0.8314,1,1
LIV-00140,2025-2026 (Live),43,72980,29987,48,184,3,Self-Employed,M,Chinese,5,0.1027,0.6168,1,0
LIV-00141,2025-2026 (Live),22,17047,69880,36,134,2,Salaried,M,Indian,27,1.3664,0.5924,1,1
LIV-00142,2025-2026 (Live),41,24382,168664,84,60,2,Contract,F,Chinese,20,0.9882,0.5854,1,0
LIV-00143,2025-2026 (Live),45,67765,21487,48,14,5,Salaried,F,Chinese,15,0.0793,0.7822,1,0
LIV-00144,2025-2026 (Live),41,45340,107881,36,105,0,Self-Employed,F,Chinese,10,0.7931,0.5009,1,0
LIV-00145,2025-2026 (Live),50,14201,72540,84,8,1,Salaried,M,Other,25,0.7297,0.5378,1,0
LIV-00146,2025-2026 (Live),63,50087,145812,84,220,0,Salaried,F,Chinese,12,0.4159,0.7349,1,0
LIV-00147,2025-2026 (Live),45,106054,81542,60,59,5,Contract,M,Chinese,6,0.1538,0.7821,1,0
LIV-00148,2025-2026 (Live),29,37195,123428,60,55,2,Self-Employed,M,Chinese,19,0.6637,0.5204,1,1
LIV-00149,2025-2026 (Live),55,29272,133612,36,215,0,Self-Employed,F,Indian,14,1.5215,0.5151,1,0
LIV-00150,2025-2026 (Live),43,83033,135688,36,142,2,Salaried,M,Chinese,14,0.5447,0.5499,1,0
LIV-00151,2025-2026 (Live),60,29063,18046,48,84,3,Contract,M,Chinese,7,0.1552,0.7691,1,0
LIV-00152,2025-2026 (Live),54,60579,141550,84,104,0,Salaried,M,Chinese,25,0.3338,0.8943,1,0
LIV-00153,2025-2026 (Live),51,34904,170403,60,87,1,Salaried,F,Chinese,10,0.9764,0.6341,1,1
LIV-00154,2025-2026 (Live),27,21163,152734,60,6,3,Contract,M,Chinese,15,1.4434,0.2552,0,1
LIV-00155,2025-2026 (Live),34,29079,10963,36,23,1,Unemployed,F,Indian,15,0.1257,0.5749,1,0
LIV-00156,2025-2026 (Live),65,9766,109595,48,56,1,Contract,M,Indian,18,2.8055,0.6651,1,1
LIV-00157,2025-2026 (Live),40,70573,170285,36,214,2,Salaried,F,Chinese,9,0.8043,0.5999,1,1
LIV-00158,2025-2026 (Live),47,65093,33746,36,63,1,Salaried,F,Chinese,16,0.1728,0.7719,1,0
LIV-00159,2025-2026 (Live),38,49213,104150,60,24,5,Contract,M,Chinese,2,0.4233,0.6896,1,0
LIV-00160,2025-2026 (Live),58,28652,127003,24,199,4,Unemployed,F,Chinese,21,2.2163,0.2835,0,1
LIV-00161,2025-2026 (Live),48,70076,48318,36,161,1,Salaried,M,Chinese,15,0.2298,0.7915,1,0
LIV-00162,2025-2026 (Live),45,63226,169542,48,226,0,Salaried,F,Chinese,13,0.6704,0.7398,1,1
LIV-00163,2025-2026 (Live),35,70382,19813,36,53,5,Salaried,M,Chinese,1,0.0938,0.6534,1,0
LIV-00164,2025-2026 (Live),24,54334,57768,84,85,2,Salaried,F,Chinese,2,0.1519,0.8521,1,0
LIV-00165,2025-2026 (Live),26,36185,102458,36,33,2,Salaried,F,Malay,16,0.9438,0.7089,1,0
LIV-00166,2025-2026 (Live),35,36477,26369,36,155,5,Salaried,F,Malay,23,0.241,0.7874,1,0
LIV-00167,2025-2026 (Live),29,11402,106045,36,0,4,Contract,M,Chinese,4,3.1002,0.4081,0,0
LIV-00168,2025-2026 (Live),64,19012,23310,60,107,2,Salaried,F,Chinese,23,0.2452,0.8314,1,0
LIV-00169,2025-2026 (Live),46,55944,27733,36,36,2,Contract,M,Indian,20,0.1652,0.7672,1,0
LIV-00170,2025-2026 (Live),36,114219,125484,36,29,3,Self-Employed,M,Chinese,1,0.3662,0.6155,1,0
LIV-00171,2025-2026 (Live),66,72207,101237,48,113,3,Salaried,M,Other,6,0.3505,0.5495,1,0
LIV-00172,2025-2026 (Live),58,35909,100597,24,152,3,Self-Employed,M,Chinese,25,1.4007,0.484,1,0
LIV-00173,2025-2026 (Live),66,24773,117778,60,187,4,Contract,M,Chinese,16,0.9509,0.3796,0,1
LIV-00174,2025-2026 (Live),24,65953,147781,60,129,5,Salaried,M,Chinese,16,0.4481,0.7553,1,1
LIV-00175,2025-2026 (Live),66,47450,117768,36,155,2,Self-Employed,M,Indian,6,0.8273,0.5761,1,1
LIV-00176,2025-2026 (Live),32,24725,21163,36,47,2,Salaried,F,Chinese,15,0.2853,0.8826,1,0
LIV-00177,2025-2026 (Live),30,48869,109418,48,155,2,Salaried,F,Indian,27,0.5598,0.8215,1,0
LIV-00178,2025-2026 (Live),25,68992,70449,84,214,1,Self-Employed,M,Chinese,7,0.1459,0.6966,1,0
LIV-00179,2025-2026 (Live),36,14882,141367,48,101,2,Self-Employed,M,Chinese,7,2.3748,0.476,1,0
LIV-00180,2025-2026 (Live),48,39436,87212,36,23,2,Self-Employed,M,Chinese,12,0.7372,0.6337,1,1
LIV-00181,2025-2026 (Live),52,97252,29821,48,226,5,Unemployed,M,Chinese,1,0.0767,0.4949,1,1
LIV-00182,2025-2026 (Live),37,82960,46446,48,199,0,Contract,M,Chinese,2,0.14,0.956,1,0
LIV-00183,2025-2026 (Live),53,41580,36859,48,227,0,Contract,F,Chinese,17,0.2216,0.833,1,0
LIV-00184,2025-2026 (Live),55,21991,103489,48,145,2,Self-Employed,F,Indian,17,1.1765,0.6556,1,0
LIV-00185,2025-2026 (Live),27,16772,46693,36,19,1,Salaried,F,Chinese,8,0.928,0.6846,1,0
LIV-00186,2025-2026 (Live),65,75117,79773,60,67,1,Self-Employed,F,Chinese,4,0.2124,0.6962,1,0
LIV-00187,2025-2026 (Live),26,29842,72181,36,7,4,Salaried,M,Malay,13,0.8063,0.3417,0,0
LIV-00188,2025-2026 (Live),45,63563,137531,48,89,4,Salaried,M,Chinese,26,0.5409,0.6786,1,0
LIV-00189,2025-2026 (Live),40,89560,54043,36,55,5,Salaried,F,Chinese,13,0.2011,0.6837,1,0
LIV-00190,2025-2026 (Live),51,25618,96543,48,60,2,Contract,M,Chinese,11,0.9421,0.6818,1,1
LIV-00191,2025-2026 (Live),33,33731,52796,60,38,3,Self-Employed,M,Chinese,12,0.313,0.675,1,0
LIV-00192,2025-2026 (Live),26,89128,56147,60,211,1,Unemployed,F,Chinese,24,0.126,0.5225,1,0
LIV-00193,2025-2026 (Live),49,37198,152121,60,17,3,Contract,F,Chinese,14,0.8179,0.521,1,0
LIV-00194,2025-2026 (Live),60,61337,111827,60,96,4,Self-Employed,M,Malay,21,0.3646,0.445,0,1
LIV-00195,2025-2026 (Live),55,34131,155228,48,58,1,Salaried,M,Malay,1,1.137,0.7268,1,1
LIV-00196,2025-2026 (Live),33,19869,149727,12,145,3,Salaried,F,Chinese,9,7.5357,0.5577,1,0
LIV-00197,2025-2026 (Live),44,58983,137552,48,97,2,Salaried,F,Other,3,0.583,0.69,1,0
LIV-00198,2025-2026 (Live),26,113081,169330,24,210,3,Salaried,M,Chinese,7,0.7487,0.7189,1,0
LIV-00199,2025-2026 (Live),61,55087,43975,84,41,4,Contract,M,Chinese,15,0.114,0.7794,1,1
LIV-00200,2025-2026 (Live),58,62944,35284,36,52,1,Contract,M,Chinese,7,0.1869,0.7889,1,1
LIV-00201,2025-2026 (Live),37,63595,10710,48,32,1,Salaried,M,Chinese,11,0.0421,0.8184,1,0
LIV-00202,2025-2026 (Live),30,124375,29338,24,20,1,Self-Employed,F,Malay,16,0.1179,0.6948,1,0
LIV-00203,2025-2026 (Live),54,34359,122437,84,198,2,Self-Employed,F,Chinese,26,0.5091,0.5145,1,0
LIV-00204,2025-2026 (Live),58,9978,43463,48,187,1,Salaried,F,Chinese,26,1.089,0.7281,1,0
LIV-00205,2025-2026 (Live),54,95790,98722,36,141,3,Contract,M,Chinese,12,0.3435,0.585,1,0
LIV-00206,2025-2026 (Live),22,16180,28804,36,32,0,Salaried,F,Other,27,0.5934,0.7083,1,0
LIV-00207,2025-2026 (Live),58,30849,48126,48,131,5,Salaried,M,Chinese,20,0.39,0.7726,1,0
LIV-00208,2025-2026 (Live),30,25164,10775,48,170,5,Self-Employed,M,Chinese,24,0.107,0.7654,1,0
LIV-00209,2025-2026 (Live),39,25175,137846,36,129,0,Salaried,F,Chinese,8,1.8252,0.5716,1,0
LIV-00210,2025-2026 (Live),59,76280,19429,12,39,5,Unemployed,M,Malay,13,0.2547,0.656,1,1
LIV-00211,2025-2026 (Live),42,66453,140353,12,49,2,Contract,M,Malay,2,2.1121,0.6997,1,1
LIV-00212,2025-2026 (Live),65,24330,42185,60,222,3,Contract,F,Chinese,8,0.3468,0.6305,1,0
LIV-00213,2025-2026 (Live),35,94355,8740,48,62,5,Contract,M,Chinese,15,0.0232,0.5785,1,0
LIV-00214,2025-2026 (Live),60,35914,118052,60,176,2,Self-Employed,M,Malay,12,0.6574,0.5331,1,1
LIV-00215,2025-2026 (Live),60,142184,162177,60,109,0,Salaried,M,Chinese,27,0.2281,0.8751,1,1
LIV-00216,2025-2026 (Live),27,32897,12555,48,93,5,Contract,M,Malay,5,0.0954,0.756,1,0
LIV-00217,2025-2026 (Live),24,31590,27470,48,63,1,Self-Employed,M,Chinese,2,0.2174,0.7046,1,0
LIV-00218,2025-2026 (Live),39,33357,172310,60,177,0,Salaried,F,Chinese,12,1.0331,0.6316,1,1
LIV-00219,2025-2026 (Live),58,23463,31411,60,137,0,Salaried,F,Chinese,6,0.2677,0.9015,1,0
LIV-00220,2025-2026 (Live),41,60663,50961,36,84,0,Salaried,F,Chinese,27,0.28,0.8086,1,0
LIV-00221,2025-2026 (Live),50,27084,37500,24,113,2,Contract,M,Other,8,0.6923,0.6427,1,0
LIV-00222,2025-2026 (Live),57,35396,166366,60,115,4,Self-Employed,F,Malay,4,0.94,0.581,1,0
LIV-00223,2025-2026 (Live),37,57537,68660,36,150,2,Contract,M,Malay,10,0.3978,0.6051,1,1
LIV-00224,2025-2026 (Live),25,152997,62940,60,36,4,Contract,F,Chinese,16,0.0823,0.8351,1,1
LIV-00225,2025-2026 (Live),66,27306,126263,48,71,2,Self-Employed,M,Chinese,25,1.156,0.5811,1,1
LIV-00226,2025-2026 (Live),35,29633,17421,36,137,5,Salaried,F,Chinese,8,0.196,0.6829,1,1
LIV-00227,2025-2026 (Live),38,28427,156600,60,152,5,Contract,M,Other,16,1.1018,0.7042,1,1
LIV-00228,2025-2026 (Live),56,56595,136633,60,32,5,Self-Employed,F,Chinese,23,0.4828,0.5752,1,1
LIV-00229,2025-2026 (Live),56,30842,118870,48,16,0,Self-Employed,M,Chinese,7,0.9635,0.5982,1,0
LIV-00230,2025-2026 (Live),66,23624,19800,36,114,1,Salaried,F,Chinese,24,0.2794,0.875,1,1
LIV-00231,2025-2026 (Live),53,45101,95016,84,23,3,Salaried,M,Chinese,12,0.301,0.7177,1,0
LIV-00232,2025-2026 (Live),31,61561,36258,60,176,4,Salaried,F,Chinese,7,0.1178,0.7771,1,0
LIV-00233,2025-2026 (Live),50,30784,21530,24,233,2,Self-Employed,F,Chinese,17,0.3497,0.713,1,1
LIV-00234,2025-2026 (Live),33,44964,179207,60,29,5,Contract,F,Chinese,15,0.7971,0.6414,1,0
